weights,aligns
"(0, 0, 0, 0)",0.49
"(0, 0, 0, 1)",0.5125
"(0, 0, 0, 2)",0.5125
"(0, 0, 0, 4)",0.5125
"(0, 0, 0, 8)",0.5125
"(0, 0, 0, 16)",0.5125
"(0, 0, 0, 32)",0.5125
"(0, 0, 0, 64)",0.5125
"(0, 0, 1, 0)",0.5125
"(0, 0, 1, 1)",0.5125
"(0, 0, 1, 2)",0.5125
"(0, 0, 1, 4)",0.5125
"(0, 0, 1, 8)",0.5125
"(0, 0, 1, 16)",0.5125
"(0, 0, 1, 32)",0.5125
"(0, 0, 1, 64)",0.5125
"(0, 0, 2, 0)",0.5125
"(0, 0, 2, 1)",0.5125
"(0, 0, 2, 2)",0.5125
"(0, 0, 2, 4)",0.5125
"(0, 0, 2, 8)",0.5125
"(0, 0, 2, 16)",0.5125
"(0, 0, 2, 32)",0.5125
"(0, 0, 2, 64)",0.5125
"(0, 0, 4, 0)",0.5125
"(0, 0, 4, 1)",0.5125
"(0, 0, 4, 2)",0.5125
"(0, 0, 4, 4)",0.5125
"(0, 0, 4, 8)",0.5125
"(0, 0, 4, 16)",0.5125
"(0, 0, 4, 32)",0.5125
"(0, 0, 4, 64)",0.5125
"(0, 0, 8, 0)",0.5125
"(0, 0, 8, 1)",0.5125
"(0, 0, 8, 2)",0.5125
"(0, 0, 8, 4)",0.5125
"(0, 0, 8, 8)",0.5125
"(0, 0, 8, 16)",0.5125
"(0, 0, 8, 32)",0.5125
"(0, 0, 8, 64)",0.5125
"(0, 0, 16, 0)",0.5125
"(0, 0, 16, 1)",0.5125
"(0, 0, 16, 2)",0.5125
"(0, 0, 16, 4)",0.5125
"(0, 0, 16, 8)",0.5125
"(0, 0, 16, 16)",0.5125
"(0, 0, 16, 32)",0.5125
"(0, 0, 16, 64)",0.5125
"(0, 0, 32, 0)",0.5125
"(0, 0, 32, 1)",0.5125
"(0, 0, 32, 2)",0.5125
"(0, 0, 32, 4)",0.5125
"(0, 0, 32, 8)",0.5125
"(0, 0, 32, 16)",0.5125
"(0, 0, 32, 32)",0.5125
"(0, 0, 32, 64)",0.5125
"(0, 0, 64, 0)",0.5125
"(0, 0, 64, 1)",0.5125
"(0, 0, 64, 2)",0.5125
"(0, 0, 64, 4)",0.5125
"(0, 0, 64, 8)",0.5125
"(0, 0, 64, 16)",0.5125
"(0, 0, 64, 32)",0.5125
"(0, 0, 64, 64)",0.5125
"(0, 1, 0, 0)",0.5725
"(0, 1, 0, 1)",0.56
"(0, 1, 0, 2)",0.5625
"(0, 1, 0, 4)",0.5675
"(0, 1, 0, 8)",0.5825
"(0, 1, 0, 16)",0.58
"(0, 1, 0, 32)",0.5825
"(0, 1, 0, 64)",0.57
"(0, 1, 1, 0)",0.56
"(0, 1, 1, 1)",0.5625
"(0, 1, 1, 2)",0.5775
"(0, 1, 1, 4)",0.5725
"(0, 1, 1, 8)",0.59
"(0, 1, 1, 16)",0.5825
"(0, 1, 1, 32)",0.585
"(0, 1, 1, 64)",0.5675
"(0, 1, 2, 0)",0.5625
"(0, 1, 2, 1)",0.5775
"(0, 1, 2, 2)",0.5675
"(0, 1, 2, 4)",0.5725
"(0, 1, 2, 8)",0.585
