weights,scores
"[0, 100, -10000, 0]",0.453125
"[-10000, 0, 1, 0]",0.4375
"[-100, -10000, -1, 0]",0.4375
"[-100, 0, -10000, 0]",0.4375
"[0, 0, 10000, -100]",0.453125
"[0, -10000, -100, 0]",0.4375
"[-1, -10000, -100, 0]",0.4375
"[10000, 0, 100, 100]",0.65625
"[-1, -100, 0, 0]",0.4375
"[0, 0, -1, 0]",0.4375
"[-100, 0, 0, -1]",0.4375
"[1, -10000, 0, -10000]",0.4375
"[100, 0, 1, 0]",0.640625
"[10000, -1, 0, 10000]",0.625
"[0, 0, 0, -10000]",0.4375
"[1, -10000, -1, 10000]",0.28125
"[0, 0, 0, 100]",0.453125
"[0, 100, 1, 100]",0.71875
"[-100, 1, 0, 0]",0.421875
"[0, 0, 0, -10000]",0.4375
"[100, 100, -10000, 0]",0.453125
"[0, 0, -10000, -100]",0.4375
"[100, 1, 0, 0]",0.953125
"[-10000, 100, 1, -1]",0.421875
"[0, 100, -10000, 0]",0.453125
"[100, 10000, 1, -10000]",0.734375
"[0, -10000, -1, 0]",0.4375
"[-100, -1, 1, 0]",0.40625
"[0, 1, 0, 100]",0.671875
"[-10000, 1, 0, 10000]",0.3125
"[1, 0, -1, -1]",0.671875
"[0, -10000, 0, 1]",0.4375
"[-1, -10000, 1, 0]",0.4375
"[-1, -10000, -100, -100]",0.4375
"[0, 0, -10000, -10000]",0.4375
"[1, 0, -100, -1]",0.453125
"[1, -100, -1, -1]",0.4375
"[-100, 10000, 0, 0]",0.46875
"[1, 0, -100, 100]",0.703125
"[1, 100, -10000, 0]",0.453125
"[-10000, -10000, 1, -10000]",0.4375
"[0, -100, 0, 10000]",0.46875
"[0, -1, -10000, -100]",0.4375
"[0, 0, 0, -1]",0.4375
"[0, 0, 0, 1]",0.453125
"[-10000, 0, 10000, 0]",0.3125
"[-10000, 0, 0, -100]",0.4375
"[1, 1, 0, -10000]",0.4375
"[0, -100, 100, 0]",0.28125
"[0, 0, -100, 0]",0.4375
"[0, 0, 1, 10000]",0.453125
"[0, -1, 0, 0]",0.4375
"[0, 10000, -1, -10000]",0.734375
"[0, 100, -100, 0]",0.734375
"[-10000, 100, 0, 100]",0.390625
"[0, 0, 0, 0]",0.4375
"[-1, -10000, -100, 10000]",0.265625
"[1, 0, 0, -100]",0.453125
"[10000, 0, 10000, 1]",0.625
"[0, -1, 0, -100]",0.4375
"[0, -10000, 0, 0]",0.4375
"[0, 1, -1, 0]",0.734375
"[10000, -1, 100, 0]",0.640625
"[0, -1, -1, 1]",0.4375
"[0, 1, 0, 10000]",0.5625
"[1, -1, 0, 100]",0.46875
"[0, 0, 100, -1]",0.453125
"[0, 0, -1, 1]",0.40625
"[-100, -100, -1, -100]",0.4375
"[-1, 0, 100, 0]",0.4375
"[-10000, -1, 0, -10000]",0.4375
"[-100, -10000, -10000, 10000]",0.4375
"[0, 0, -1, 0]",0.4375
"[10000, -100, 100, 0]",0.484375
"[-1, -1, 1, -1]",0.4375
"[1, 0, -100, 0]",0.453125
"[0, -1, -1, 0]",0.4375
"[1, -1, -10000, 10000]",0.453125
"[-1, 0, -10000, 0]",0.4375
"[0, -1, -10000, 0]",0.4375
"[1, -100, 10000, 1]",0.5
"[-10000, 10000, -1, 0]",0.546875
"[-100, 1, -100, -100]",0.4375
"[0, 1, 0, -10000]",0.4375
"[1, -10000, 0, 0]",0.4375
"[10000, 10000, 0, 1]",1.0
"[0, -100, 0, 100]",0.28125
"[-100, 0, -10000, 0]",0.4375
"[-1, -1, 0, 0]",0.4375
"[0, 10000, 1, 0]",0.546875
"[-10000, 0, 1, 0]",0.4375
"[-1, 0, 0, 1]",0.3125
"[0, 10000, 100, 0]",0.609375
"[100, -1, -100, 1]",0.65625
"[1, -100, 0, 0]",0.4375
"[100, -100, 10000, 1]",0.46875
"[0, 1, 0, 1]",0.71875
"[0, -100, 100, 10000]",0.5
"[-100, 0, 0, 100]",0.3125
"[-10000, -1, 1, 10000]",0.3125
"[-100, 0, 10000, 0]",0.4375
"[0, -100, 1, 0]",0.421875
"[-10000, 1, 1, -100]",0.4375
"[-100, 1, 100, 0]",0.3125
"[1, 10000, 0, 0]",0.828125
"[0, 0, -10000, 100]",0.4375
"[10000, 10000, 1, -1]",1.0
"[-10000, -10000, 0, -100]",0.4375
"[0, 0, 0, -10000]",0.4375
"[-1, -100, 0, -100]",0.4375
"[-10000, 0, 0, 0]",0.4375
"[-100, -1, 0, -1]",0.4375
"[0, 100, 0, 0]",0.65625
"[-10000, -10000, -1, 100]",0.421875
"[1, 0, 0, 0]",0.703125
"[-1, -1, 100, 1]",0.453125
"[100, 0, 0, -100]",0.65625
"[0, 100, 0, -10000]",0.453125
"[0, 0, -100, -1]",0.4375
"[0, 1, 0, 0]",0.65625
"[10000, 10000, 0, 100]",1.0
"[1, 10000, -1, 0]",0.765625
"[-1, 0, -10000, 1]",0.4375
"[0, 0, 0, 0]",0.4375
"[10000, 100, 1, 100]",0.90625
"[10000, -1, 100, 0]",0.640625
"[-100, 10000, 0, 0]",0.46875
"[10000, -10000, 0, -10000]",0.515625
"[-1, 0, -100, 0]",0.4375
"[1, 0, 1, 0]",0.625
"[0, 0, 0, 0]",0.4375
"[-10000, 0, -10000, 0]",0.4375
"[-10000, 100, -10000, 0]",0.4375
"[0, 0, 0, 0]",0.4375
"[0, -10000, -100, -1]",0.4375
"[0, -100, 0, 1]",0.421875
"[-100, -1, -10000, -10000]",0.4375
"[0, -10000, 10000, 0]",0.28125
"[0, 1, 0, -10000]",0.4375
"[0, 0, 0, 0]",0.4375
"[-10000, -100, 100, 0]",0.40625
"[-1, -10000, 0, 0]",0.4375
"[0, 0, -100, -1]",0.4375
"[0, -10000, -10000, 100]",0.4375
"[0, 0, 0, 0]",0.4375
"[0, 0, 0, 1]",0.453125
"[10000, 0, 0, 100]",0.640625
"[0, 0, -10000, 10000]",0.40625
"[0, 0, 0, 0]",0.4375
"[100, 0, 0, 100]",0.625
"[0, 100, 1, 0]",0.609375
"[100, -10000, 0, 0]",0.4375
"[1, -10000, 100, 10000]",0.28125
"[0, 10000, 0, 0]",0.65625
"[0, -100, 0, 0]",0.4375
"[-10000, 0, 100, 0]",0.390625
"[0, -10000, 0, -100]",0.4375
"[-100, -100, 0, -1]",0.4375
"[1, -1, 0, 0]",0.453125
"[1, 1, 0, 100]",0.828125
"[100, -1, 0, 0]",0.625
"[0, 0, -1, 0]",0.4375
"[10000, 10000, 0, 0]",1.0
"[0, 0, -10000, -100]",0.4375
"[100, -100, 100, 10000]",0.46875
"[0, 0, -10000, 100]",0.4375
"[10000, -1, 10000, 1]",0.625
"[0, 1, 10000, 10000]",0.546875
"[1, -1, -100, -1]",0.453125
"[0, 0, 0, -10000]",0.4375
"[10000, 0, 1, 1]",0.671875
"[0, 0, 1, 10000]",0.453125
"[1, 0, -1, -10000]",0.4375
"[0, 10000, 0, 0]",0.65625
"[0, 0, -1, 0]",0.4375
"[0, -1, -100, -100]",0.4375
"[-1, 1, -1, 0]",0.546875
"[0, 0, 0, -10000]",0.4375
"[-100, 0, 0, 0]",0.4375
"[0, 0, -1, 0]",0.4375
"[-10000, -10000, 0, 0]",0.4375
"[0, 1, 0, 0]",0.65625
"[10000, 1, 1, 0]",0.78125
"[0, 0, 0, -100]",0.4375
"[-100, -10000, 1, 100]",0.421875
"[-10000, 0, 10000, 100]",0.3125
"[0, 0, -10000, 10000]",0.40625
"[-10000, 0, 0, 10000]",0.3125
"[0, 1, 0, -100]",0.453125
"[100, 10000, -10000, 0]",0.734375
"[100, -100, 10000, 0]",0.46875
"[0, 0, 10000, 0]",0.453125
"[0, 100, 100, 100]",0.6875
"[1, 0, 0, 0]",0.703125
"[0, 0, 0, 0]",0.4375
"[0, 0, 0, -100]",0.4375
"[-100, -100, 0, 0]",0.4375
"[-1, 100, 10000, 0]",0.65625
"[0, 0, 1, 10000]",0.453125
"[1, 10000, 0, 0]",0.828125
"[0, -1, 10000, 0]",0.359375
"[10000, 100, 10000, 0]",0.78125
"[-100, 100, 0, 10000]",0.40625
"[-1, 0, 0, 0]",0.4375
"[-10000, 0, 0, 100]",0.390625
"[0, 0, -10000, 0]",0.4375
"[0, 0, -1, 1]",0.40625
"[0, 1, -10000, 0]",0.4375
"[0, -1, 0, -1]",0.4375
"[-1, 0, -1, -100]",0.4375
"[1, 0, 0, 100]",0.546875
"[1, 0, 100, 0]",0.546875
"[0, -100, -10000, 0]",0.4375
"[-1, 0, 0, -1]",0.4375
"[0, -1, -1, 0]",0.4375
"[10000, 0, -100, 0]",0.734375
"[-10000, -100, 0, 1]",0.4375
"[-10000, 100, 0, 0]",0.421875
"[0, 0, -100, 100]",0.40625
"[-1, 1, 0, 0]",0.546875
"[-1, 10000, 100, 0]",0.609375
"[0, 0, 0, 0]",0.4375
"[0, 0, 0, -100]",0.4375
"[100, 10000, 100, 0]",0.9375
"[-10000, 1, 1, 0]",0.421875
"[100, 100, -100, -1]",0.703125
"[-10000, 0, 1, -10000]",0.4375
"[1, -10000, -10000, -1]",0.4375
"[0, 0, 0, 100]",0.453125
"[10000, 10000, 0, 0]",1.0
"[100, 0, -100, 100]",0.703125
"[0, -100, 10000, 0]",0.46875
"[1, 0, -10000, 1]",0.4375
"[0, 0, 0, -1]",0.4375
"[1, 0, 0, 0]",0.703125
"[-10000, 0, 100, 1]",0.390625
"[-10000, 0, 0, 0]",0.4375
"[100, -10000, 0, 0]",0.4375
"[-1, 100, 1, 10000]",0.65625
"[0, -1, -100, -1]",0.4375
"[0, 0, 0, -10000]",0.4375
"[0, 10000, 100, 0]",0.609375
"[0, 0, 0, -1]",0.4375
"[-1, 100, 0, 100]",0.5625
"[10000, 0, -1, 0]",0.6875
"[0, 100, 10000, 100]",0.671875
"[0, 0, 100, -10000]",0.4375
"[0, 10000, -1, 0]",0.65625
"[-100, -10000, -1, 100]",0.421875
"[0, 0, 0, 1]",0.453125
"[-10000, 0, 1, 100]",0.390625
"[0, 0, -10000, 0]",0.4375
"[0, 0, -1, 0]",0.4375
"[0, 100, 0, -10000]",0.453125
"[0, 0, -10000, 0]",0.4375
"[1, 0, 0, 0]",0.703125
"[-100, 0, 10000, 0]",0.4375
"[0, -1, 100, 0]",0.46875
"[0, 10000, 0, 1]",0.546875
"[-1, -10000, -100, -100]",0.4375
"[-10000, 0, 1, 0]",0.4375
"[-100, -1, 0, 0]",0.4375
"[0, 1, 0, 1]",0.71875
"[1, 0, 100, 0]",0.546875
"[-100, 10000, -100, -100]",0.640625
"[1, -100, 1, 100]",0.296875
"[0, 0, -1, 0]",0.4375
"[0, 100, -1, -1]",0.6875
"[1, 100, 10000, 0]",0.703125
"[100, -1, 0, 100]",0.5625
"[0, 0, 0, -1]",0.4375
"[0, -100, 0, 0]",0.4375
"[1, 0, 100, -100]",0.703125
"[0, 0, 0, 1]",0.453125
"[-1, 100, 0, 10000]",0.65625
"[0, 0, -10000, -100]",0.4375
"[-100, -100, 100, 0]",0.328125
"[0, -10000, 1, 10000]",0.28125
"[0, -1, 10000, 0]",0.359375
"[0, 0, 0, 0]",0.4375
"[0, -1, 10000, 0]",0.359375
"[0, 0, 0, -1]",0.4375
"[100, -100, -10000, 1]",0.453125
"[10000, 0, 0, 0]",0.703125
"[10000, 0, 1, 0]",0.6875
"[10000, -10000, 100, -1]",0.453125
"[0, 10000, -100, 10000]",0.71875
"[-1, -10000, -1, 100]",0.421875
"[0, 0, -100, 0]",0.4375
"[0, -1, 0, -100]",0.4375
"[0, 0, 0, 0]",0.4375
"[1, -100, 0, 100]",0.296875
"[0, -1, 1, -100]",0.4375
"[10000, 10000, 0, 100]",1.0
"[100, 0, 0, -100]",0.65625
"[1, -100, 0, 100]",0.296875
"[10000, 100, 0, 100]",0.90625
"[0, 0, 0, -100]",0.4375
"[-100, 0, 0, 0]",0.4375
"[-10000, -100, 0, 0]",0.4375
"[10000, 1, 0, 0]",0.859375
"[0, 0, 100, -100]",0.59375
"[-100, 0, -1, 0]",0.4375
"[0, 0, 0, 0]",0.4375
"[-10000, 1, 10000, 1]",0.3125
"[0, -100, 10000, -1]",0.46875
"[10000, -10000, 1, -100]",0.453125
"[-100, -1, -1, 0]",0.4375
"[1, 0, 0, 0]",0.703125
"[0, 10000, -10000, 0]",0.734375
"[0, -10000, -100, 1]",0.4375
"[10000, 10000, 0, -10000]",0.703125
"[0, -10000, 0, 100]",0.421875
"[100, -1, -10000, 10000]",0.625
"[-1, 0, 0, 0]",0.4375
"[0, 10000, 0, 10000]",0.71875
"[10000, -10000, 0, 100]",0.453125
"[100, 0, 100, -10000]",0.453125
"[100, 100, -10000, 0]",0.453125
"[-1, -100, 0, 100]",0.25
"[0, -1, 100, 0]",0.46875
"[-10000, 0, 0, 0]",0.4375
"[10000, 0, 0, 0]",0.703125
"[-1, 0, 1, 1]",0.328125
"[-1, -100, 1, -100]",0.4375
"[0, 1, -1, -1]",0.609375
"[10000, 1, -10000, 0]",0.65625
"[0, 10000, 0, 1]",0.546875
"[10000, 0, -1, 0]",0.6875
"[10000, 0, 0, 0]",0.703125
"[1, 1, 10000, -100]",0.578125
"[0, 10000, -100, 0]",0.65625
"[0, 0, 10000, 0]",0.453125
"[1, -100, 1, -100]",0.4375
"[0, 0, 10000, 0]",0.453125
"[0, -10000, 0, 0]",0.4375
"[0, 0, 0, 0]",0.4375
